node,neigh,neicount,bunbo,ave,senderfreq,bunsan,stdhensa,hendoukeisu,max,min,max-min,seiki,force,0-1hantei,ave-hantei,bunsan-hanteo,hendoukeisuu-hantei,seiki+hendoukeisuu
6,2,4,7,1.750000,4.000000,1.687500,1.299038,0.742307,4,1,3,1.000000,,s,s,d,d,s
5,6,7,13,1.857143,2.000000,1.265306,1.124858,0.605693,4,1,3,0.333333,,d,s,d,d,d
10,6,5,6,1.200000,2.000000,0.160000,0.400000,0.333333,2,1,1,1.000000,,s,s,s,d,s
2,6,5,10,2.000000,2.000000,0.800000,0.894427,0.447214,3,1,2,0.500000,,s,s,s,d,s
9,6,8,9,1.125000,2.000000,0.109375,0.330719,0.293972,2,1,1,1.000000,,s,s,s,d,s
4,5,7,13,1.857143,2.000000,1.265306,1.124858,0.605693,4,1,3,0.333333,,d,s,d,d,d
2,5,5,11,2.200000,2.000000,0.560000,0.748331,0.340151,3,1,2,0.500000,,s,d,s,d,s
6,5,4,8,2.000000,2.000000,1.500000,1.224745,0.612372,4,1,3,0.333333,,d,s,d,d,d
9,5,8,10,1.250000,2.000000,0.187500,0.433013,0.346410,2,1,1,1.000000,,s,s,s,d,s
1,5,5,11,2.200000,2.000000,1.360000,1.166190,0.530087,4,1,3,0.333333,,d,d,d,d,d
8,5,8,9,1.125000,2.000000,0.109375,0.330719,0.293972,2,1,1,1.000000,,s,s,s,d,s
10,5,5,7,1.400000,2.000000,0.240000,0.489898,0.349927,2,1,1,1.000000,,s,s,s,d,s
5,6,7,14,2.000000,3.000000,1.428571,1.195229,0.597614,4,1,3,0.666667,,s,s,d,d,s
10,6,5,8,1.600000,3.000000,0.640000,0.800000,0.500000,3,1,2,1.000000,,s,s,s,d,s
2,6,5,12,2.400000,3.000000,0.640000,0.800000,0.333333,3,1,2,1.000000,,s,s,s,d,s
9,6,8,11,1.375000,3.000000,0.484375,0.695971,0.506160,3,1,2,1.000000,,s,s,s,d,s
1,2,5,12,2.400000,5.000000,2.240000,1.496663,0.623610,5,1,4,1.000000,,s,s,d,d,s
5,2,7,15,2.142857,5.000000,2.122448,1.456863,0.679869,5,1,4,1.000000,,s,s,d,d,s
4,2,7,14,2.000000,5.000000,2.000000,1.414214,0.707107,5,1,4,1.000000,,s,s,d,d,s
6,2,4,9,2.250000,5.000000,2.687500,1.639360,0.728604,5,1,4,1.000000,,s,s,d,d,s
3,4,4,7,1.750000,2.000000,0.687500,0.829156,0.473804,3,1,2,0.500000,,s,s,s,d,s
1,4,5,13,2.600000,2.000000,1.840000,1.356466,0.521718,5,1,4,0.250000,,d,d,d,d,d
5,4,7,16,2.285714,2.000000,1.918368,1.385051,0.605960,5,1,4,0.250000,,d,d,d,d,d
8,4,8,10,1.250000,2.000000,0.187500,0.433013,0.346410,2,1,1,1.000000,,s,s,s,d,s
